row_id,cluster,distance,algorithm,linkage,k_best,avg_silhouette_best,min_cluster_n
1,1,simple_matching,pam,N/A,4,0.1909,9
2,1,simple_matching,pam,N/A,4,0.1909,9
3,2,simple_matching,pam,N/A,4,0.1909,9
4,3,simple_matching,pam,N/A,4,0.1909,9
5,1,simple_matching,pam,N/A,4,0.1909,9
6,3,simple_matching,pam,N/A,4,0.1909,9
7,2,simple_matching,pam,N/A,4,0.1909,9
8,1,simple_matching,pam,N/A,4,0.1909,9
9,3,simple_matching,pam,N/A,4,0.1909,9
10,2,simple_matching,pam,N/A,4,0.1909,9
11,2,simple_matching,pam,N/A,4,0.1909,9
12,4,simple_matching,pam,N/A,4,0.1909,9
13,1,simple_matching,pam,N/A,4,0.1909,9
14,2,simple_matching,pam,N/A,4,0.1909,9
15,2,simple_matching,pam,N/A,4,0.1909,9
16,1,simple_matching,pam,N/A,4,0.1909,9
17,1,simple_matching,pam,N/A,4,0.1909,9
18,2,simple_matching,pam,N/A,4,0.1909,9
19,2,simple_matching,pam,N/A,4,0.1909,9
20,2,simple_matching,pam,N/A,4,0.1909,9
21,3,simple_matching,pam,N/A,4,0.1909,9
22,3,simple_matching,pam,N/A,4,0.1909,9
23,1,simple_matching,pam,N/A,4,0.1909,9
24,1,simple_matching,pam,N/A,4,0.1909,9
25,4,simple_matching,pam,N/A,4,0.1909,9
26,1,simple_matching,pam,N/A,4,0.1909,9
27,2,simple_matching,pam,N/A,4,0.1909,9
28,1,simple_matching,pam,N/A,4,0.1909,9
29,2,simple_matching,pam,N/A,4,0.1909,9
30,2,simple_matching,pam,N/A,4,0.1909,9
31,4,simple_matching,pam,N/A,4,0.1909,9
32,1,simple_matching,pam,N/A,4,0.1909,9
33,2,simple_matching,pam,N/A,4,0.1909,9
34,4,simple_matching,pam,N/A,4,0.1909,9
35,1,simple_matching,pam,N/A,4,0.1909,9
36,3,simple_matching,pam,N/A,4,0.1909,9
37,1,simple_matching,pam,N/A,4,0.1909,9
38,3,simple_matching,pam,N/A,4,0.1909,9
39,2,simple_matching,pam,N/A,4,0.1909,9
40,1,simple_matching,pam,N/A,4,0.1909,9
41,4,simple_matching,pam,N/A,4,0.1909,9
42,1,simple_matching,pam,N/A,4,0.1909,9
43,1,simple_matching,pam,N/A,4,0.1909,9
44,2,simple_matching,pam,N/A,4,0.1909,9
45,1,simple_matching,pam,N/A,4,0.1909,9
46,3,simple_matching,pam,N/A,4,0.1909,9
47,4,simple_matching,pam,N/A,4,0.1909,9
48,1,simple_matching,pam,N/A,4,0.1909,9
49,1,simple_matching,pam,N/A,4,0.1909,9
50,1,simple_matching,pam,N/A,4,0.1909,9
51,4,simple_matching,pam,N/A,4,0.1909,9
52,2,simple_matching,pam,N/A,4,0.1909,9
53,1,simple_matching,pam,N/A,4,0.1909,9
54,2,simple_matching,pam,N/A,4,0.1909,9
55,4,simple_matching,pam,N/A,4,0.1909,9
56,1,simple_matching,pam,N/A,4,0.1909,9
57,4,simple_matching,pam,N/A,4,0.1909,9
58,4,simple_matching,pam,N/A,4,0.1909,9
59,3,simple_matching,pam,N/A,4,0.1909,9
60,2,simple_matching,pam,N/A,4,0.1909,9
