feature,pyramidal,cerebella,brain_stem,sensory,sphincters,visual,mental,speech,motor_system,sensory_system,coordination,gait,bowel_bladder,mobility,mental_state,optic_disc,nystagmus,ocular_move,swallowing,present_motor,present_sensory,present_visual,present_balance,present_pain,present_behavioural,present_fatigue,present_sexual
pyramidal,1,0.3333333333333333,0.09090909090909091,0.4411764705882353,0.2903225806451613,0.37142857142857144,0.03125,0.15625,0.6097560975609756,0.25,0.23076923076923078,0.2972972972972973,0.14285714285714285,0.029411764705882353,0,0.2619047619047619,0.15151515151515152,0.06451612903225806,0.0967741935483871,0.3157894736842105,0.2727272727272727,0.3076923076923077,0.08571428571428572,0,0.03225806451612903,0.03225806451612903,0.03225806451612903
cerebella,0.3333333333333333,1,0.1,0.20689655172413793,0.18181818181818182,0.21428571428571427,0.11764705882352941,0.09523809523809523,0.23809523809523808,0.125,0.4782608695652174,0.36,0.13043478260869565,0.10526315789473684,0.05263157894736842,0.21875,0.09090909090909091,0,0.1111111111111111,0.2,0.16666666666666666,0.23333333333333334,0.2631578947368421,0,0,0.058823529411764705,0.058823529411764705
brain_stem,0.09090909090909091,0.1,1,0.09523809523809523,0.16666666666666666,0.1,0,0.1,0.05263157894736842,0.09090909090909091,0.1,0.1,0.07692307692307693,0,0,0.08,0,0,0,0,0.07142857142857142,0.08695652173913043,0.09090909090909091,0,0,0,0
sensory,0.4411764705882353,0.20689655172413793,0.09523809523809523,1,0.22727272727272727,0.20689655172413793,0.05263157894736842,0.14285714285714285,0.325,0.32142857142857145,0.12903225806451613,0.09375,0.2857142857142857,0,0,0.1111111111111111,0,0.05263157894736842,0.10526315789473684,0.15625,0.2647058823529412,0.22580645161290322,0.08695652173913043,0,0,0.05555555555555555,0.05555555555555555
sphincters,0.2903225806451613,0.18181818181818182,0.16666666666666666,0.22727272727272727,1,0.08333333333333333,0.1,0.15384615384615385,0.2222222222222222,0.037037037037037035,0.08333333333333333,0.3,0.2,0.08333333333333333,0,0,0.14285714285714285,0.1,0.2,0.12,0.13333333333333333,0.07407407407407407,0.06666666666666667,0,0,0,0
visual,0.37142857142857144,0.21428571428571427,0.1,0.20689655172413793,0.08333333333333333,1,0,0.09523809523809523,0.3,0.2,0.1724137931034483,0.13333333333333333,0.04,0,0,0.4444444444444444,0.14285714285714285,0.11764705882352941,0.1111111111111111,0.09090909090909091,0.10526315789473684,0.5416666666666666,0.043478260869565216,0,0.058823529411764705,0.058823529411764705,0.058823529411764705
mental,0.03125,0.11764705882352941,0,0.05263157894736842,0.1,0,1,0,0.05714285714285714,0.05,0.05555555555555555,0.05555555555555555,0.1,0.2,0,0.043478260869565216,0,0,0,0.05,0.038461538461538464,0.047619047619047616,0,0,0,0,0
speech,0.15625,0.09523809523809523,0.1,0.14285714285714285,0.15384615384615385,0.09523809523809523,0,1,0.10810810810810811,0.08695652173913043,0.045454545454545456,0.15,0.15384615384615385,0,0,0.12,0.08333333333333333,0,0.2857142857142857,0.19047619047619047,0.10714285714285714,0.08333333333333333,0.18181818181818182,0,0,0.16666666666666666,0.16666666666666666
motor_system,0.6097560975609756,0.23809523809523808,0.05263157894736842,0.325,0.2222222222222222,0.3,0.05714285714285714,0.10810810810810811,1,0.3170731707317073,0.2682926829268293,0.3,0.1,0.08333333333333333,0.02702702702702703,0.2391304347826087,0.2,0.05714285714285714,0.08571428571428572,0.42105263157894735,0.25,0.27906976744186046,0.05,0,0.02857142857142857,0.02857142857142857,0.02857142857142857
sensory_system,0.25,0.125,0.09090909090909091,0.32142857142857145,0.037037037037037035,0.2,0.05,0.08695652173913043,0.3170731707317073,1,0.2,0.058823529411764705,0.07692307692307693,0.09523809523809523,0,0.24242424242424243,0.04,0.05,0.047619047619047616,0.22580645161290322,0.29411764705882354,0.25806451612903225,0.04,0,0,0.05263157894736842,0.05263157894736842
coordination,0.23076923076923078,0.4782608695652174,0.1,0.12903225806451613,0.08333333333333333,0.1724137931034483,0.05555555555555555,0.045454545454545456,0.2682926829268293,0.2,1,0.3076923076923077,0.13043478260869565,0.10526315789473684,0.05263157894736842,0.25806451612903225,0.14285714285714285,0,0,0.2413793103448276,0.13513513513513514,0.15625,0.14285714285714285,0,0,0,0
gait,0.2972972972972973,0.36,0.1,0.09375,0.3,0.13333333333333333,0.05555555555555555,0.15,0.3,0.058823529411764705,0.3076923076923077,1,0.13043478260869565,0.05,0.05263157894736842,0.11428571428571428,0.2631578947368421,0.05555555555555555,0.1111111111111111,0.2857142857142857,0.07692307692307693,0.15625,0.2,0.058823529411764705,0,0.058823529411764705,0.058823529411764705
bowel_bladder,0.14285714285714285,0.13043478260869565,0.07692307692307693,0.2857142857142857,0.2,0.04,0.1,0.15384615384615385,0.1,0.07692307692307693,0.13043478260869565,0.13043478260869565,1,0,0.09090909090909091,0.10714285714285714,0.06666666666666667,0,0,0.07692307692307693,0.21428571428571427,0.03571428571428571,0.06666666666666667,0,0,0,0
mobility,0.029411764705882353,0.10526315789473684,0,0,0.08333333333333333,0,0.2,0,0.08333333333333333,0.09523809523809523,0.10526315789473684,0.05,0,1,0.16666666666666666,0.04,0,0,0,0.09523809523809523,0.07407407407407407,0.043478260869565216,0,0,0,0,0
mental_state,0,0.05263157894736842,0,0,0,0,0,0,0.02702702702702703,0,0.05263157894736842,0.05263157894736842,0.09090909090909091,0.16666666666666666,1,0.041666666666666664,0,0,0,0,0.07692307692307693,0.045454545454545456,0,0,0,0,0
optic_disc,0.2619047619047619,0.21875,0.08,0.1111111111111111,0,0.4444444444444444,0.043478260869565216,0.12,0.2391304347826087,0.24242424242424243,0.25806451612903225,0.11428571428571428,0.10714285714285714,0.04,0.041666666666666664,1,0.07407407407407407,0,0.041666666666666664,0.20588235294117646,0.20512820512820512,0.4,0.16,0,0.045454545454545456,0.045454545454545456,0.045454545454545456
nystagmus,0.15151515151515152,0.09090909090909091,0,0,0.14285714285714285,0.14285714285714285,0,0.08333333333333333,0.2,0.04,0.14285714285714285,0.2631578947368421,0.06666666666666667,0,0,0.07407407407407407,1,0.125,0.1111111111111111,0.18181818181818182,0,0.125,0,0,0,0,0
ocular_move,0.06451612903225806,0,0,0.05263157894736842,0.1,0.11764705882352941,0,0,0.05714285714285714,0.05,0,0.05555555555555555,0,0,0,0,0.125,1,0,0,0,0.1,0,0,0,0,0
swallowing,0.0967741935483871,0.1111111111111111,0,0.10526315789473684,0.2,0.1111111111111111,0,0.2857142857142857,0.08571428571428572,0.047619047619047616,0,0.1111111111111111,0,0,0,0.041666666666666664,0.1111111111111111,0,1,0.1,0.07692307692307693,0.09523809523809523,0.1111111111111111,0,0,0.3333333333333333,0.3333333333333333
present_motor,0.3157894736842105,0.2,0,0.15625,0.12,0.09090909090909091,0.05,0.19047619047619047,0.42105263157894735,0.22580645161290322,0.2413793103448276,0.2857142857142857,0.07692307692307693,0.09523809523809523,0,0.20588235294117646,0.18181818181818182,0,0.1,1,0.1,0.08333333333333333,0.08333333333333333,0,0.05263157894736842,0.05263157894736842,0.05263157894736842
present_sensory,0.2727272727272727,0.16666666666666666,0.07142857142857142,0.2647058823529412,0.13333333333333333,0.10526315789473684,0.038461538461538464,0.10714285714285714,0.25,0.29411764705882354,0.13513513513513514,0.07692307692307693,0.21428571428571427,0.07407407407407407,0.07692307692307693,0.20512820512820512,0,0,0.07692307692307693,0.1,1,0.07142857142857142,0.03225806451612903,0,0,0.04,0.04
present_visual,0.3076923076923077,0.23333333333333334,0.08695652173913043,0.22580645161290322,0.07407407407407407,0.5416666666666666,0.047619047619047616,0.08333333333333333,0.27906976744186046,0.25806451612903225,0.15625,0.15625,0.03571428571428571,0.043478260869565216,0.045454545454545456,0.4,0.125,0.1,0.09523809523809523,0.08333333333333333,0.07142857142857142,1,0.08,0,0,0.05,0.05
present_balance,0.08571428571428572,0.2631578947368421,0.09090909090909091,0.08695652173913043,0.06666666666666667,0.043478260869565216,0,0.18181818181818182,0.05,0.04,0.14285714285714285,0.2,0.06666666666666667,0,0,0.16,0,0,0.1111111111111111,0.08333333333333333,0.03225806451612903,0.08,1,0,0,0.14285714285714285,0.14285714285714285
present_pain,0,0,0,0,0,0,0,0,0,0,0,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
present_behavioural,0.03225806451612903,0,0,0,0,0.058823529411764705,0,0,0.02857142857142857,0,0,0,0,0,0,0.045454545454545456,0,0,0,0.05263157894736842,0,0,0,0,1,0,0
present_fatigue,0.03225806451612903,0.058823529411764705,0,0.05555555555555555,0,0.058823529411764705,0,0.16666666666666666,0.02857142857142857,0.05263157894736842,0,0.058823529411764705,0,0,0,0.045454545454545456,0,0,0.3333333333333333,0.05263157894736842,0.04,0.05,0.14285714285714285,0,0,1,1
present_sexual,0.03225806451612903,0.058823529411764705,0,0.05555555555555555,0,0.058823529411764705,0,0.16666666666666666,0.02857142857142857,0.05263157894736842,0,0.058823529411764705,0,0,0,0.045454545454545456,0,0,0.3333333333333333,0.05263157894736842,0.04,0.05,0.14285714285714285,0,0,1,1
