feature_a,feature_b,phi
present_fatigue,present_sexual,1
visual,present_visual,0.5753723590625356
swallowing,present_fatigue,0.567480306535024
swallowing,present_sexual,0.567480306535024
cerebella,coordination,0.5075239398084814
pyramidal,motor_system,0.46791204433431316
visual,optic_disc,0.4426029167461211
speech,swallowing,0.4333408306443945
pyramidal,sensory,0.4148445246835731
pyramidal,sphincters,0.4063070132231382
speech,present_fatigue,0.3905667329424717
speech,present_sexual,0.3905667329424717
present_sensory,present_visual,-0.38247315498700596
present_balance,present_fatigue,0.35823078848812434
present_balance,present_sexual,0.35823078848812434
sphincters,gait,0.3573594855086355
motor_system,present_motor,0.3573133647628938
cerebella,present_balance,0.34756251533500465
gait,nystagmus,0.34756251533500465
cerebella,gait,0.34336525307797533
